canonicalName,domain,uiControl,simCasePath,simulationInputWrite,actualConsumer,consumerEvidence,evaluationKind,activation,primaryObservations,unitRule,samplingLocation,perturbationRule,shortPassCriterion,runnable,blockReason
cathode.targetMdot_kg_s,cathode,TargetMdotEditField|AdvancedTargetMdotEditField,controls.cathode.targetMdot_kg_s,"routeA_command_profile.air_target_mdot_kg_s","routeA_command_profile.air_target_mdot_kg_s; model variable routeA_command_profile; model users System_Control_Observability/FCU_BoP_Control/RouteA_Command_Profile/Command_Profile_Input",write_target_referenced,physical_response,cathode.airControlMode=1 (mass-flow controller),cathode.compressorInletMassFlow,"kg/s","registered model observer",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
cathode.directCommand,cathode,DirectCommandEditField|AdvancedDirectCommandEditField,controls.cathode.directCommand,"routeA_command_profile.air_direct_command","routeA_command_profile.air_direct_command; model variable routeA_command_profile; model users System_Control_Observability/FCU_BoP_Control/RouteA_Command_Profile/Command_Profile_Input",write_target_referenced,physical_response,cathode.airControlMode=3 (direct compressor command),cathode.compressorInletMassFlow,"normalized command; observed mdot kg/s","registered model observer",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
cathode.sourcePressure_MPa_abs,cathode,AdvancedSourcePressureEditField,controls.cathode.sourcePressure_MPa_abs,"routeA_command_profile.cathode_*","routeA_command_profile.cathode_*; model variable routeA_command_profile; model users System_Control_Observability/FCU_BoP_Control/RouteA_Command_Profile/Command_Profile_Input",write_target_referenced,physical_response,always active for this case,cathode.compressorInletPressure; cathode.outletPressure; cathode.outletTemperature; cathode.inletRelativeHumidity; cathode.outletRelativeHumidity,"input MPa(abs); primary observation units declared in observation registry: cathode.compressorInletPressure, cathode.outletPressure, cathode.outletTemperature, cathode.inletRelativeHumidity, cathode.outletRelativeHumidity","cathode exhaust outlet pressure observer (Pa; displayed MPa)",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
cathode.sourceTemperature_C,cathode,AdvancedSourceTemperatureEditField,controls.cathode.sourceTemperature_C,"routeA_command_profile.cathode_*","routeA_command_profile.cathode_*; model variable routeA_command_profile; model users System_Control_Observability/FCU_BoP_Control/RouteA_Command_Profile/Command_Profile_Input",write_target_referenced,physical_response,always active for this case,cathode.compressorInletPressure; cathode.outletPressure; cathode.outletTemperature; cathode.inletRelativeHumidity; cathode.outletRelativeHumidity,"input degC; primary observation units declared in observation registry: cathode.compressorInletPressure, cathode.outletPressure, cathode.outletTemperature, cathode.inletRelativeHumidity, cathode.outletRelativeHumidity","cathode exhaust outlet pressure observer (Pa; displayed MPa)",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
cathode.outletPressure_MPa_abs,cathode,BackpressureEditField|AdvancedBackpressureEditField,controls.cathode.outletPressure_MPa_abs,"routeA_command_profile.cathode_*","routeA_command_profile.cathode_*; model variable routeA_command_profile; model users System_Control_Observability/FCU_BoP_Control/RouteA_Command_Profile/Command_Profile_Input",write_target_referenced,physical_response,cathode exhaust backpressure profile,cathode.outletPressure,"command MPa(abs); signal Pa, display MPa","cathode exhaust outlet pressure observer (Pa; displayed MPa)",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
cathode.humidifierRH,cathode,HumidifierRHEditField|AdvancedHumidifierRHEditField,controls.cathode.humidifierRH,"routeA_command_profile.cathode_*","routeA_command_profile.cathode_*; model variable routeA_command_profile; model users System_Control_Observability/FCU_BoP_Control/RouteA_Command_Profile/Command_Profile_Input",write_target_referenced,physical_response,cathode.humidifierEnabled=true,cathode.inletRelativeHumidity; cathode.outletRelativeHumidity,"RH fraction 0..1","humidifier outlet/cathode inlet and cathode exhaust RH observers",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
cathode.humidifierEnabled,cathode,HumidifierEnabledCheckBox|AdvancedHumidifierEnabledCheckBox,controls.cathode.humidifierEnabled,"routeA_command_profile.cathode_*","routeA_command_profile.cathode_*; model variable routeA_command_profile; model users System_Control_Observability/FCU_BoP_Control/RouteA_Command_Profile/Command_Profile_Input",write_target_referenced,physical_response,always active for this case,cathode.compressorInletPressure; cathode.outletPressure; cathode.outletTemperature; cathode.inletRelativeHumidity; cathode.outletRelativeHumidity,"input -; primary observation units declared in observation registry: cathode.compressorInletPressure, cathode.outletPressure, cathode.outletTemperature, cathode.inletRelativeHumidity, cathode.outletRelativeHumidity","cathode exhaust outlet pressure observer (Pa; displayed MPa)",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
cathode.o2MoleFraction,cathode,AdvancedO2EditField,controls.cathode.o2MoleFraction,"SimulationInput.setVariable(env_yO2)","SimulationInput.setVariable(env_yO2); model variable env_yO2; model users Anode_Hydrogen_BOP/Anode Exhaust/Environment; Cathode_Air_cEGR_BOP/Cathode
Humidifier/Pipe (FC); Cathode_Air_cEGR_BOP/EGRPipe; ... (+7)",write_target_referenced,physical_response,always active for this case,cathode.inletComposition; cathode.inletSpeciesMassFlow,"input -; primary observation units declared in observation registry: cathode.inletComposition, cathode.inletSpeciesMassFlow","cathode inlet/exhaust gas-mixture observers; channel order [N2 O2 H2 H2O]",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
cathode.h2oMoleFraction,cathode,AdvancedH2OEditField,controls.cathode.h2oMoleFraction,"SimulationInput.setVariable(env_yH20)","SimulationInput.setVariable(env_yH20); model variable env_yH20; model users Anode_Hydrogen_BOP/Anode Exhaust/Environment; Cathode_Air_cEGR_BOP/Cathode
Humidifier/Pipe (FC); Cathode_Air_cEGR_BOP/EGRPipe; ... (+7)",write_target_referenced,physical_response,always active for this case,cathode.inletComposition; cathode.inletRelativeHumidity,"input -; primary observation units declared in observation registry: cathode.inletComposition, cathode.inletRelativeHumidity","humidifier outlet/cathode inlet and cathode exhaust RH observers",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
cegr.enabled,cegr,CegrEnabledCheckBox|AdvancedCegrEnabledCheckBox,controls.cegr.enabled,"SimulationInput.setVariable(routeA_cegr_enabled)","SimulationInput.setVariable(routeA_cegr_enabled); model variable routeA_cegr_enabled; model users cEGR_Mode_Selector",write_target_referenced,physical_response,always active for this case,cegr.actualRatio; cegr.massFlow,"input -; primary observation units declared in observation registry: cegr.actualRatio, cegr.massFlow","cEGR branch flow/valve observers between cathode exhaust split and compressor-inlet mixer",toggle the boolean under its activation mode,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
cegr.targetRatio,cegr,CegrRatioEditField|AdvancedCegrRatioEditField,controls.cegr.targetRatio,"routeA_command_profile.cegr_ratio","routeA_command_profile.cegr_ratio; model variable routeA_command_profile; model users System_Control_Observability/FCU_BoP_Control/RouteA_Command_Profile/Command_Profile_Input",write_target_referenced,physical_response,cegr.enabled=true and cegr.controlMode=1,cegr.actualRatio; cegr.controlError; cegr.massFlow,"input -; primary observation units declared in observation registry: cegr.actualRatio, cegr.controlError, cegr.massFlow","cEGR branch flow/valve observers between cathode exhaust split and compressor-inlet mixer",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
cegr.controlMode,cegr,AdvancedCegrControlModeDropDown,controls.cegr.controlMode,"SimulationInput.setVariable(routeA_egr_control_mode_id)","SimulationInput.setVariable(routeA_egr_control_mode_id); model variable routeA_egr_control_mode_id; model users System_Control_Observability/FCU_BoP_Control/EGR Direct Mode Enable",write_target_referenced,physical_response,always active for this case,cegr.controlError,"input -; primary observation units declared in observation registry: cegr.controlError","cEGR branch flow/valve observers between cathode exhaust split and compressor-inlet mixer",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
cegr.targetInputMode,cegr,AdvancedCegrTargetInputModeDropDown,controls.cegr.targetInputMode,"SimulationInput.setVariable(routeA_egr_target_input_mode_id)","SimulationInput.setVariable(routeA_egr_target_input_mode_id); model variable routeA_egr_target_input_mode_id; model users System_Control_Observability/FCU_BoP_Control/EGR_Target_Ratio_Profile_Mode",write_target_referenced,physical_response,always active for this case,cegr.actualRatio,"input -; primary observation units declared in observation registry: cegr.actualRatio","cEGR branch flow/valve observers between cathode exhaust split and compressor-inlet mixer",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
cegr.controller.Kp_area,cegr,AdvancedCegrKpEditField,controls.cegr.controller.Kp_area,"SimulationInput.setVariable(routeA_egr_control_Kp_area)","SimulationInput.setVariable(routeA_egr_control_Kp_area); model variable routeA_egr_control_Kp_area; model users System_Control_Observability/FCU_BoP_Control/EGR Ratio PI",write_target_referenced,physical_response,cegr.enabled=true and cegr.controlMode=1,cegr.actualRatio; cegr.controlError; cegr.valveAreaCommand,"input m^2; primary observation units declared in observation registry: cegr.actualRatio, cegr.controlError, cegr.valveAreaCommand","cEGR branch flow/valve observers between cathode exhaust split and compressor-inlet mixer",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
cegr.controller.Ki_area,cegr,AdvancedCegrKiEditField,controls.cegr.controller.Ki_area,"SimulationInput.setVariable(routeA_egr_control_Ki_area)","SimulationInput.setVariable(routeA_egr_control_Ki_area); model variable routeA_egr_control_Ki_area; model users System_Control_Observability/FCU_BoP_Control/EGR Ratio PI",write_target_referenced,physical_response,cegr.enabled=true and cegr.controlMode=1,cegr.actualRatio; cegr.controlError; cegr.valveAreaCommand,"input m^2/s; primary observation units declared in observation registry: cegr.actualRatio, cegr.controlError, cegr.valveAreaCommand","cEGR branch flow/valve observers between cathode exhaust split and compressor-inlet mixer",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
cegr.actuatorTau_s,cegr,DeviceCegrActuatorTauEditField,controls.cegr.controller.actuatorTau_s,"SimulationInput.setVariable(routeA_egr_valve_actuator_tau)","SimulationInput.setVariable(routeA_egr_valve_actuator_tau); model variable routeA_egr_valve_actuator_tau; model users System_Control_Observability/FCU_BoP_Control/EGR Area Actuator",write_target_referenced,physical_response,always active for this case,cegr.actualRatio; cegr.massFlow; cegr.valveAreaCommand,"input s; primary observation units declared in observation registry: cegr.actualRatio, cegr.massFlow, cegr.valveAreaCommand","cEGR branch flow/valve observers between cathode exhaust split and compressor-inlet mixer",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
anode.sourcePressure_MPa_abs,anode,AnodeSourcePressureEditField,controls.anode.sourcePressure_MPa_abs,"SimulationInput.setVariable(tank_p) when source pressure differs from platform default","SimulationInput.setVariable(tank_p) when source pressure differs from platform default; model variable tank_p; model users Anode_Hydrogen_BOP/Hydrogen
Source/Fuel Tank",write_target_referenced,physical_response,source value differs from platform default and overrides tank_p,anode.inletPressure,"MPa(abs) at pressure-reducer outlet","anode pressure-reducer outlet, humidifier outlet, or purge-valve inlet; species order [N2 O2 H2 H2O]",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
anode.sourceTemperature_C,anode,AnodeSourceTemperatureEditField,controls.anode.sourceTemperature_C,"SimulationInput.setVariable(tank_T)","SimulationInput.setVariable(tank_T); model variable tank_T; model users Anode_Hydrogen_BOP/Hydrogen
Source/Fuel Tank",write_target_referenced,physical_response,source value differs from platform default and overrides tank_T,anode.inletTemperature,"degC at pressure-reducer outlet","anode pressure-reducer outlet, humidifier outlet, or purge-valve inlet; species order [N2 O2 H2 H2O]",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
anode.h2MoleFraction,anode,AnodeH2EditField,controls.anode.h2MoleFraction,"SimulationInput.setVariable(tank_yH2) + routeA_command_profile.anode_source_h2_mole_fraction","SimulationInput.setVariable(tank_yH2) + routeA_command_profile.anode_source_h2_mole_fraction; model variable tank_yH2; model users System_Control_Observability/FCU_BoP_Control/RouteA_Command_Profile/Command_Profile_Input",write_target_referenced,physical_response,always active for this case,anode.inletComposition,"mole fraction, channel H2 in [N2 O2 H2 H2O]","anode pressure-reducer outlet, humidifier outlet, or purge-valve inlet; species order [N2 O2 H2 H2O]",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
anode.inletPressure_MPa_abs,anode,AnodeInletPressureEditField,controls.anode.inletPressure_MPa_abs,"routeA_command_profile.anode_inlet_pressure_MPa_abs","routeA_command_profile.anode_inlet_pressure_MPa_abs; model variable routeA_command_profile; model users System_Control_Observability/FCU_BoP_Control/RouteA_Command_Profile/Command_Profile_Input",write_target_referenced,physical_response,anode pressure-reducing valve setpoint profile,anode.inletPressure,"MPa(abs) at pressure-reducer outlet","anode pressure-reducer outlet, humidifier outlet, or purge-valve inlet; species order [N2 O2 H2 H2O]",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
anode.humidifierRH,anode,AnodeHumidifierRHEditField,controls.anode.humidifierRH,"routeA_command_profile.anode_humidifier_rh","routeA_command_profile.anode_humidifier_rh; model variable routeA_command_profile; model users System_Control_Observability/FCU_BoP_Control/RouteA_Command_Profile/Command_Profile_Input",write_target_referenced,physical_response,anode humidifier command active,anode.inletRelativeHumidity,"RH fraction 0..1","anode pressure-reducer outlet, humidifier outlet, or purge-valve inlet; species order [N2 O2 H2 H2O]",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
anode.recirculationBaseCommand,anode,AnodeRecirculationBaseEditField,controls.anode.recirculationBaseCommand,"routeA_command_profile.anode_recirculation_*","routeA_command_profile.anode_recirculation_*; model variable routeA_command_profile; model users System_Control_Observability/FCU_BoP_Control/RouteA_Command_Profile/Command_Profile_Input",write_target_referenced,physical_response,anode recirculation command with nonzero stack current,anode.inletPressure,"input command; physical response MPa(abs) at pressure-reducer outlet","anode pressure-reducer outlet, humidifier outlet, or purge-valve inlet; species order [N2 O2 H2 H2O]",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
anode.recirculationCurrentGain_A_inv,anode,AnodeRecirculationGainEditField,controls.anode.recirculationCurrentGain_A_inv,"routeA_command_profile.anode_recirculation_*","routeA_command_profile.anode_recirculation_*; model variable routeA_command_profile; model users System_Control_Observability/FCU_BoP_Control/RouteA_Command_Profile/Command_Profile_Input",write_target_referenced,physical_response,anode recirculation command with nonzero stack current,anode.inletPressure,"input command; physical response MPa(abs) at pressure-reducer outlet","anode pressure-reducer outlet, humidifier outlet, or purge-valve inlet; species order [N2 O2 H2 H2O]",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
anode.purgeEnabled,anode,AnodePurgeEnabledCheckBox,controls.anode.purgeEnabled,"routeA_command_profile.anode_purge_*","routeA_command_profile.anode_purge_*; model variable routeA_command_profile; model users System_Control_Observability/FCU_BoP_Control/RouteA_Command_Profile/Command_Profile_Input",write_target_referenced,physical_response,anode purge enabled with the N2 threshold crossed,anode.purgeState; anode.outletComposition,"purge state 0/1; outlet mole fractions [N2 O2 H2 H2O]","anode pressure-reducer outlet, humidifier outlet, or purge-valve inlet; species order [N2 O2 H2 H2O]",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
anode.purgeOnN2MoleFraction,anode,AnodePurgeOnN2EditField,controls.anode.purgeOnN2MoleFraction,"routeA_command_profile.anode_purge_*","routeA_command_profile.anode_purge_*; model variable routeA_command_profile; model users System_Control_Observability/FCU_BoP_Control/RouteA_Command_Profile/Command_Profile_Input",write_target_referenced,physical_response,anode purge enabled with the N2 threshold crossed,anode.purgeState; anode.outletComposition,"purge state 0/1; outlet mole fractions [N2 O2 H2 H2O]","anode pressure-reducer outlet, humidifier outlet, or purge-valve inlet; species order [N2 O2 H2 H2O]",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
anode.purgeOffN2MoleFraction,anode,AnodePurgeOffN2EditField,controls.anode.purgeOffN2MoleFraction,"routeA_command_profile.anode_purge_*","routeA_command_profile.anode_purge_*; model variable routeA_command_profile; model users System_Control_Observability/FCU_BoP_Control/RouteA_Command_Profile/Command_Profile_Input",write_target_referenced,physical_response,anode purge enabled with the N2 threshold crossed,anode.purgeState; anode.outletComposition,"purge state 0/1; outlet mole fractions [N2 O2 H2 H2O]","anode pressure-reducer outlet, humidifier outlet, or purge-valve inlet; species order [N2 O2 H2 H2O]",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
stack.numCells,stack,DeviceStackNumCellsEditField,controls.stack.numCells,"SimulationInput.setVariable(stack_num_cells)","SimulationInput.setVariable(stack_num_cells); model variable stack_num_cells; model users Cathode_Air_cEGR_BOP/Oxygen
Source/Compressor Control/M_set; Stack_Core/Anode Gas
Channels/Anode; Stack_Core/Cathode Gas
Channels/Cathode; ... (+4)",write_target_referenced,physical_response,always active for this case,stack.current; stack.voltage; stack.power,"input -; primary observation units declared in observation registry: stack.current, stack.voltage, stack.power","stack electrical/thermal observer",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
stack.area_cm2,stack,DeviceStackAreaEditField,controls.stack.area_cm2,"SimulationInput.setVariable(stack_area)","SimulationInput.setVariable(stack_area); model variable stack_area; model users Cathode_Air_cEGR_BOP/Oxygen
Source/Compressor Control/Constant; Stack_Core/Anode Gas
Channels/Anode; Stack_Core/Cathode Gas
Channels/Cathode; ... (+3)",write_target_referenced,physical_response,always active for this case,stack.current; stack.voltage; stack.power,"input cm^2; primary observation units declared in observation registry: stack.current, stack.voltage, stack.power","stack electrical/thermal observer",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
stack.iL_A_cm2,stack,DeviceStackIEditField,controls.stack.iL_A_cm2,"SimulationInput.setVariable(stack_iL)","SimulationInput.setVariable(stack_iL); model variable stack_iL; model users Cathode_Air_cEGR_BOP/Oxygen
Source/Compressor Control/Constant; Stack_Core/Membrane Electrode
Assembly",write_target_referenced,physical_response,always active for this case,stack.current; stack.voltage; stack.power,"input A/cm^2; primary observation units declared in observation registry: stack.current, stack.voltage, stack.power","stack electrical/thermal observer",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
stack.io_A_cm2,stack,DeviceStackIoEditField,controls.stack.io_A_cm2,"SimulationInput.setVariable(stack_io)","SimulationInput.setVariable(stack_io); model variable stack_io; model users Stack_Core/Membrane Electrode
Assembly",write_target_referenced,physical_response,always active for this case,stack.current; stack.voltage; stack.power,"input A/cm^2; primary observation units declared in observation registry: stack.current, stack.voltage, stack.power","stack electrical/thermal observer",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
device.stack.alpha,stack,DeviceStackAlphaEditField,controls.devices.stack.alpha,"SimulationInput.setVariable(stack_alpha)","SimulationInput.setVariable(stack_alpha); model variable stack_alpha; model users Stack_Core/Membrane Electrode
Assembly",write_target_referenced,physical_response,always active for this case,stack.voltage; stack.power; stack.temperature,"input -; primary observation units declared in observation registry: stack.voltage, stack.power, stack.temperature","stack electrical/thermal observer",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
